ID,TYPE,NAME,PHASE,LEVEL_BAND,REGION,MAP,DEPENDENCIES,SYSTEM_STATUS,CONTENT_STATUS,ART_STATUS,MOBILE_STATUS,PRIORITY,NOTES
R01,REGION,Amberway Vale,EARLY,1-12,R01,,MAP_R01_01..05,PARTIAL,LOCKED,PARTIAL,PARTIAL,P0,Five maps; hub MAP_R01_01
R02,REGION,Briarwood Reach,MID,13-24,R02,,MAP_R02_01..05,PLANNED,LOCKED,MISSING,PLANNED,P1,Five maps; hub MAP_R02_01
R03,REGION,Sunmere Coast,MID,25-36,R03,,MAP_R03_01..05,PLANNED,LOCKED,MISSING,PLANNED,P1,Five maps; hub MAP_R03_01
R04,REGION,Cinderpeak March,LATE,37-48,R04,,MAP_R04_01..05,PLANNED,LOCKED,MISSING,PLANNED,P1,Five maps; hub MAP_R04_01
R05,REGION,Starfall Fen,LATE,49-60,R05,,MAP_R05_01..05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Five maps; hub MAP_R05_01; verified swamp vegetation sources
MAP_R01_01,MAP,Amberway Crossroads,EARLY,1-4,R01,MAP_R01_01,R01,PARTIAL,LOCKED,PARTIAL,PARTIAL,P0,Hub and current vertical-slice composition
MAP_R01_02,MAP,Goldleaf Road,EARLY,3-6,R01,MAP_R01_02,R01,PLANNED,LOCKED,PARTIAL,PLANNED,P0,Field
MAP_R01_03,MAP,Hearthgrove,EARLY,5-8,R01,MAP_R01_03,R01,PLANNED,LOCKED,PARTIAL,PLANNED,P0,Field
MAP_R01_04,MAP,Waystone Downs,EARLY,7-10,R01,MAP_R01_04,R01,PLANNED,LOCKED,PARTIAL,PLANNED,P0,Field
MAP_R01_05,MAP,Amberfall Verge,EARLY,10-12,R01,MAP_R01_05,R01;DGN_01,PLANNED,LOCKED,PARTIAL,PLANNED,P0,Field and dungeon approach
MAP_R02_01,MAP,Thornwatch,EARLY,13-15,R02,MAP_R02_01,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,Hub
MAP_R02_02,MAP,Briarpath,EARLY,15-18,R02,MAP_R02_02,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R02_03,MAP,Mosslight Thicket,EARLY,18-20,R02,MAP_R02_03,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R02_04,MAP,Rootbound Hollow,EARLY,20-22,R02,MAP_R02_04,R02,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R02_05,MAP,Bramblegate,EARLY,22-24,R02,MAP_R02_05,R02;DGN_02,PLANNED,LOCKED,MISSING,PLANNED,P1,Field and dungeon approach
MAP_R03_01,MAP,Sunmere Harbor,MID,25-27,R03,MAP_R03_01,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,Hub
MAP_R03_02,MAP,Coralwind Strand,MID,27-30,R03,MAP_R03_02,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R03_03,MAP,Tideglass Flats,MID,30-32,R03,MAP_R03_03,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R03_04,MAP,Lantern Shoals,MID,32-34,R03,MAP_R03_04,R03,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R03_05,MAP,Stormshell Cape,MID,34-36,R03,MAP_R03_05,R03;DGN_03,PLANNED,LOCKED,MISSING,PLANNED,P1,Field and dungeon approach
MAP_R04_01,MAP,Cinderpost,MID,37-39,R04,MAP_R04_01,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,Hub
MAP_R04_02,MAP,Ashstep Trail,MID,39-42,R04,MAP_R04_02,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R04_03,MAP,Embercrag,MID,42-44,R04,MAP_R04_03,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R04_04,MAP,Ironroot Caldera,LATE,44-46,R04,MAP_R04_04,R04,PLANNED,LOCKED,MISSING,PLANNED,P1,Field
MAP_R04_05,MAP,Marchfire Bastion,LATE,46-48,R04,MAP_R04_05,R04;DGN_04,PLANNED,LOCKED,MISSING,PLANNED,P1,Field and dungeon approach
MAP_R05_01,MAP,Starfen Refuge,LATE,49-51,R05,MAP_R05_01,R05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Hub
MAP_R05_02,MAP,Glowreed Mire,LATE,51-54,R05,MAP_R05_02,R05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Field
MAP_R05_03,MAP,Fallen Constellary,LATE,54-56,R05,MAP_R05_03,R05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Field
MAP_R05_04,MAP,Wispwater Fen,LATE,56-58,R05,MAP_R05_04,R05,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Field
MAP_R05_05,MAP,Starfall Depths,LATE,58-60,R05,MAP_R05_05,R05;DGN_05;DGN_06,PLANNED,LOCKED,PARTIAL,PLANNED,P1,Field and dungeon approaches
QARC_R01_MAIN,QUEST_ARC,Amberway Main Arc,EARLY,1-12,R01,MAP_R01_01..05,R01;NPC_R01_01..07,PLANNED,LOCKED,PARTIAL,PLANNED,P0,18 main quests
QARC_R01_SIDE,QUEST_ARC,Amberway Side Stories,EARLY,1-12,R01,MAP_R01_01..05,NPC_R01_01..07,PLANNED,LOCKED,PARTIAL,PLANNED,P1,12 side quests
QARC_R01_REPEAT,QUEST_ARC,Amberway Duties,EARLY,4-12,R01,MAP_R01_01..05,QARC_R01_MAIN,PLANNED,LOCKED,NOT_REQUIRED,PLANNED,P2,5 repeatable quests
QARC_R02_MAIN,QUEST_ARC,Briarwood Main Arc,EARLY,13-24,R02,MAP_R02_01..05,R02;NPC_R02_01..07,PLANNED,LOCKED,MISSING,PLANNED,P1,18 main quests
QARC_R02_SIDE,QUEST_ARC,Briarwood Side Stories,EARLY,13-24,R02,MAP_R02_01..05,NPC_R02_01..07,PLANNED,LOCKED,MISSING,PLANNED,P1,12 side quests
QARC_R02_REPEAT,QUEST_ARC,Briarwood Duties,EARLY,16-24,R02,MAP_R02_01..05,QARC_R02_MAIN,PLANNED,LOCKED,NOT_REQUIRED,PLANNED,P2,5 repeatable quests
QARC_R03_MAIN,QUEST_ARC,Sunmere Main Arc,MID,25-36,R03,MAP_R03_01..05,R03;NPC_R03_01..07,PLANNED,LOCKED,MISSING,PLANNED,P1,18 main quests
QARC_R03_SIDE,QUEST_ARC,Sunmere Side Stories,MID,25-36,R03,MAP_R03_01..05,NPC_R03_01..07,PLANNED,LOCKED,MISSING,PLANNED,P1,12 side quests
