ASSET_ID,CONTENT_ID,CATEGORY,SUBCATEGORY,REGION,MAP,LEVEL_BAND,CLASS,SP,DESCRIPTION,PURPOSE,PRIORITY,PHASE,STATUS,EXISTING_SOURCE,NEW_ASSET_REQUIRED,VARIANT_COUNT,DIRECTION_COUNT,STATE,FRAME_OR_KEYPOSE_COUNT,TOTAL_EXPECTED_OUTPUT_FILES,SOURCE_RESOLUTION,RUNTIME_RESOLUTION_POLICY,TRANSPARENCY,PIVOT,MIRROR_ALLOWED,LAYERING,SOCKETS,VFX_REQUIRED,ICON_REQUIRED,PORTRAIT_REQUIRED,GODOT_PROCEDURAL_SUPPORT,MOBILE_COST_CLASS,ATLAS_ELIGIBLE,LOD_REQUIRED,DEPENDENCIES,TARGET_PATH,VISUAL_SPEC_ID,CREATION_CARD_ID,POSE_SPEC,FACING_SPEC,SUBJECT_SCALE,SUBJECT_BOUNDS,GROUND_CONTACT,HEAD_SOCKET,MAIN_HAND_SOCKET,OFFHAND_SOCKET,VFX_SOCKET,DEPTH_POLICY,ANIMATION_TIMING_PROFILE,REFERENCE_ASSET_IDS,ROTATION_CERTIFICATION,NOTES
AST_M0431B_BODY,CLS_01,PLAYER,ACTION_BODY,,,1-60,CLS_01,,Male Wayfarer melee body windup and commit,Close current action-art gap,P0,VERTICAL_SLICE,MISSING,characters/base/male/directions/*.png,YES,1,4,windup|commit,2,8,512x512,1:1 RGBA,STRAIGHT_ALPHA,"256;468",NO,body,head|main_hand|ground,NO,NO,NO,followthrough and recovery motion only,MEDIUM,NO,NO,AST_PLAYER_IDLE_8D,characters/base/male/actions/melee/<direction>/<pose>.png,VS_CHAR_01,CC_001A,CC_001A,front|right|back|left,canonical male,"24px padding minimum",feet at y468,"per JSON","per JSON",NONE,slash_origin,weapon front except back start,normalized action phases,A00107..A00114,FOUR_CARDINAL_CERTIFIED,No diagonal recovery shadow helmet sword or VFX art
AST_M0431B_ARMOR,EQ_T01,EQUIPMENT,ACTION_OVERLAY,,,1-10,CLS_01,,Wayfarer armor overlays matching exact body poses,Keep equipped silhouette synchronized,P0,VERTICAL_SLICE,MISSING,characters/equipment/armor/wayfarer,YES,1,4,windup|commit,2,8,512x512,1:1 RGBA,STRAIGHT_ALPHA,"256;468",NO,armor over body; under helmet and sword,uses body sockets,NO,NO,NO,none,MEDIUM,NO,NO,AST_M0431B_BODY,characters/equipment/armor/wayfarer/actions/melee/<direction>/<pose>.png,VS_CHAR_01,CC_001B,match body exactly,front|right|back|left,canonical male,"24px padding minimum",feet at y468,inherit,inherit,NONE,inherit,armor follows body,body pose index lock,AST_M0431B_BODY,FOUR_CARDINAL_CERTIFIED,Armor contains no body helmet weapon shadow or VFX
AST_M0431B_SOCKET,EQ_T01,METADATA,ACTION_SOCKETS,,,1-10,CLS_01,,Wayfarer melee socket metadata,Drive existing helmet and short sword,P0,VERTICAL_SLICE,MISSING,none,YES,1,4,windup|commit,2,1,JSON,runtime data,NOT_REQUIRED,"256;468",NO,NOT_REQUIRED,head|main_hand|ground|depth|angles,NO,NO,NO,socket interpolation,LOW,NO,NO,AST_M0431B_BODY;AST_M0431B_ARMOR,data/spatial/player_actions/wayfarer_melee_attack.json,VS_SOCKET_01,CC_001C,CC_001C,front|right|back|left,NOT_REQUIRED,NOT_REQUIRED,ground pivot 256;468,required,required,NONE,slash_origin,explicit per pose,normalized action phases,canonical helmet;canonical short sword,FOUR_CARDINAL_CERTIFIED,Deliverable yes; authored raster output no
AST_PLAYER_IDLE_8D,CLS_01,PLAYER,BASE_DIRECTION,,,1-60,CLS_01,,Male base directional idles,Core facing,P0,CURRENT,READY,characters/base/male/directions/*.png,NO,1,8,idle,1,8,source,keep native,STRAIGHT_ALPHA,ground footpoint,NO,body,none,NO,NO,NO,direction resolution,LOW,YES,NO,,characters/base/male/directions/,CHAR_BASE_01,NONE,idle,8 directions,canonical,source bounds,footpoint,existing,existing,NONE,existing,oblique depth,idle hold,A00107..A00114,EIGHT_DIRECTION_CERTIFIED,Catalog VISUAL_MASTER_READY
AST_PLAYER_LOCOMOTION,CLS_01,PLAYER,BASE_ANIMATION,,,1-60,CLS_01,,Male walk and run frames,Movement readability,P0,CURRENT,REWORK,characters/animations/male/walk_*;characters/animations/male/run_*,YES,1,8,walk|run,4,64,source,normalize to 512 canvas,STRAIGHT_ALPHA,"256;468",NO,body,sockets follow body,NO,NO,NO,blend and timing only,MEDIUM,NO,NO,AST_PLAYER_IDLE_8D,characters/base/male/animations/<state>/<direction>/,ANIM_PLAYER_01,CC_002A,4-frame cycles,8 directions,canonical male,"24px padding minimum",feet fixed,required,required,NONE,required,foot-depth sort,8fps walk;10fps run,A00075..A00082,EIGHT_DIRECTION_PENDING,Catalog has frames not direction-bound
AST_PLAYER_DAMAGE,CLS_01,PLAYER,BASE_ANIMATION,,,1-60,CLS_01,,Male hit and defeated keyposes,Combat feedback,P1,EARLY,REWORK,characters/animations/male/hit_*;characters/animations/male/defeated_*,YES,1,4,hit|defeated,2,16,source,normalize to 512 canvas,STRAIGHT_ALPHA,"256;468",NO,body,sockets follow body,NO,NO,NO,tween timing only,MEDIUM,NO,NO,AST_PLAYER_IDLE_8D,characters/base/male/animations/<state>/<direction>/,ANIM_PLAYER_02,CC_002B,2 keyposes per state,cardinals,canonical male,"24px padding minimum",feet fixed,required,required,NONE,required,foot-depth sort,hit 0.2s;defeated 0.6s,A00067..A00070,FOUR_CARDINAL_PENDING,Catalog frames not direction-bound
AST_CLASS_C01_MELEE,CLS_01,CLASSES,COMBAT_POSES,,,1-60,CLS_01,,Vanguard melee family,Class combat set,P1,EARLY,PARTIAL,characters/animations/male/attack_melee,YES,1,4,ready|windup|commit|recover,4,16,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,body;sockets,head|hands|vfx,YES,YES,NO,timing and held phases,MEDIUM,NO,NO,AST_M0431B_BODY,characters/classes/CLS_01/melee/,CLASS_01,CC_003,4 keyposes,cardinals,canonical player,padded,feet fixed,required,required,optional,required,weapon path explicit,0.65s attack,A00043..A00046,FOUR_CARDINAL_PENDING,Front-side authored source exists
AST_CLASS_C02_RANGED,CLS_02,CLASSES,COMBAT_POSES,,,1-60,CLS_02,,Ranger ranged family,Class combat set,P1,EARLY,REWORK,characters/animations/male/attack_ranged,YES,2,4,ready|draw_start|full_draw|release,4,32,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,body;weapon,head|main_hand|offhand|vfx,YES,YES,NO,projectile trajectory,MEDIUM,NO,NO,AST_PLAYER_IDLE_8D,characters/classes/CLS_02/ranged/,CLASS_02,CC_004,4 keyposes,cardinals,both bodies,padded,feet fixed,required,required,required,required,bow depth explicit,0.8s attack,A00051..A00058,FOUR_CARDINAL_PENDING,Existing male/female nondirectional poses
AST_CLASS_C03_MAGIC,CLS_03,CLASSES,COMBAT_POSES,,,1-60,CLS_03,,Arcanist cast family,Class combat set,P1,MID,REWORK,characters/animations/male/cast,YES,2,4,ready|gather|channel|release,4,32,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,body;focus,head|hands|vfx,YES,YES,NO,VFX animation and timing,MEDIUM,NO,NO,AST_PLAYER_IDLE_8D,characters/classes/CLS_03/cast/,CLASS_03,CC_005,4 keyposes,cardinals,both bodies,padded,feet fixed,required,required,required,required,VFX behind/front split,1.0s cast,A00059..A00066,FOUR_CARDINAL_PENDING,Existing male/female nondirectional poses
AST_CLASS_C04_SUPPORT,CLS_04,CLASSES,COMBAT_POSES,,,1-60,CLS_04,,Warden support cast family,Class combat set,P1,MID,MISSING,none,YES,2,4,gather|channel|release|recover,4,32,512x512,1:1,STRAIGHT_ALPHA,"256;468",NO,body;focus,head|hands|vfx,YES,YES,NO,VFX animation and timing,MEDIUM,NO,NO,AST_CLASS_C03_MAGIC,characters/classes/CLS_04/support/,CLASS_04,CARD_CLASS_TEMPLATE,4 keyposes,cardinals,both bodies,padded,feet fixed,required,required,required,required,VFX behind/front split,1.1s cast,AST_CLASS_C03_MAGIC,FOUR_CARDINAL_PENDING,Distinct supportive silhouette
